IPAddress,Duration (in seconds),responseId,LocationLatitude,LocationLongitude,Q2,Q3,Q1,Q4,Q5,Q6,Q7,Q8,Q9,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q10_1,Q10_2,Q10_3,Q10_4,Q14_14,Q10_13,Q10_12,Q10_5,Q10_7,Q10_6,Q10_8,Q10_9,Q10_10,Q10_11,Q14b_1,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q109,Q113,Q114,Q116,Q117,Q16_1,Q16_2,Q17,Q20#1_1_1,Q20#1_2_1,Q20#1_3_1,Q20#1_4_1,Q20#1_5_1,Q20#1_6_1,Q20#1_7_1,Q20#1_8_1,Q20#1_9_1,Q20#1_10_1,Q20#1_11_1,Q20#1_12_1,Q20#1_13_1,Q20#1_14_1,Q20#2_1,Q20#2_2,Q20#2_3,Q20#2_4,Q20#2_5,Q20#2_6,Q20#2_7,Q20#2_8,Q20#2_9,Q20#2_10,Q20#2_11,Q20#2_12,Q20#2_13,Q20#2_14,Q118,Q22#1_1_1,Q22#1_2_1,Q22#1_3_1,Q22#1_4_1,Q22#1_5_1,Q22#1_6_1,Q22#1_7_1,Q22#1_8_1,Q22#1_9_1,Q22#1_10_1,Q22#1_11_1,Q22#1_12_1,Q22#1_13_1,Q22#1_14_1,Q22#2_1,Q22#2_2,Q22#2_3,Q22#2_4,Q22#2_5,Q22#2_6,Q22#2_7,Q22#2_8,Q22#2_9,Q22#2_10,Q22#2_11,Q22#2_12,Q22#2_13,Q22#2_14,Q119,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q25,Q26,Attn check 1,Q28_2,Q28_3,Q30_1,Q30_2,Q31_1,Q31_2,Q32,Q33,Q34,Q103,Q104,Attn check 2,Q37,Q38,Q39,Q40,Q41,Q42,Q44,Q45,Q46,Q47,Q21_1,Q21_2,Q21_12,Q21_13,Q21_14,Q21_16,Q21_15,Q22_6,Q22_8,Q24 w attn check_1,Q24 w attn check_2,Q24 w attn check_3,Q24 w attn check_4,Q24 w attn check_5,Q24 w attn check_6,Q102,Q48,Q49,Q50,Q51,Q52_1,Q52_2,Q101,aid
172.56.209.93,577,R_10A67o4qDzymzsM,36,-115,1,1,29,1,5,1,12,6,7,0,0,0,0,100,0,5,2,5,1,5,5,5,5,5,5,5,1,5,2,,1,"1,2",1,4,"1,2",4,4,,3,,,,,,,,,,100,,,,,,,,80,,,,,,3,,,,,,,,3,,,,,100,,,,,,,,,,,,40,,3,,,,,,,,,,,,3,,3,3,4,1,4,4,4,4,4,4,4,3,3,3,15,,3,44,70,54,78,24,33,4,1,8,1,,2,1,1,1,1,1,1,2,1,2,2,2,2,2,6,3,1,4,2,4,6,6,5,2,7,2,"4,5,7",4,1,1,89115,1776,125,3,65a066f4-0b52-8d88-0e43-6a17b2b51165
76.228.72.155,1398,R_10DZ71m6yvWVqj7,38,-122,1,1,5,1,4,1,3,11,12,15,60,20,50,25,25,"1,2","1,2","1,2",5,"1,2",5,"1,2",5,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,100,50,60,,50,,40,,,,,,,,3,3,3,,2,,3,,,,,,,,1,50,60,50,,40,,40,,,,,,,,3,2,3,,1,,3,,,,,,,,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,15,,3,51,35,92,40,98,55,1,3,8,"1,4,7",,2,3,3,2,,2,2,1,1,3,5,6,1,7,6,1,7,6,7,5,7,6,5,5,7,1,"3,4,5",7,5,4,94124,191,229,3,65bb3e64-bb09-9690-493d-30ec8e57ad7b
107.77.207.149,479,R_10DbdogBN2dsVHm,42,-88,1,1,38,2,4,1,12,12,12,100,90,80,70,90,80,"1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2",1,"1,2","1,2",Walmart,"1,2","1,2","1,2","1,2","1,2","1,2","1,2",1,1,1,1,1,1,2,1,100,90,80,90,70,70,90,90,80,70,90,80,90,90,"1,2",2,"1,2",2,"1,2",2,2,"1,2",1,"1,2",1,2,"1,2",1,1,100,90,80,90,70,90,80,80,90,70,90,,70,90,"1,2",2,2,"1,2",2,"1,2",2,2,"1,2",1,2,,1,"1,2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,,3,80,102,181,148,210,171,1,1,8,"3,4",,2,3,3,2,,2,2,4,2,1,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"1,2,3",8,5,5,97209,2246,332,3,65af9b6e-c4b3-be53-3d76-6186799cb6e3
166.182.82.51,855,R_10HRGmyAC49ZcTG,39,-91,1,1,44,2,7,1,12,4,4,5,9,5,5,10,5,5,"1,2",5,5,5,"1,2",5,5,5,5,5,5,"1,2",5,,4,4,4,4,4,4,4,,,,,,,,,,20,,,,10,,,,,,,40,,,3,,,,3,,,,,,,3,,,,20,,,,10,,,,,,,40,,,3,,,,3,,,,,,,3,,,4,2,4,4,4,2,4,4,4,4,4,4,4,4,15,,3,27,28,31,32,0,0,1,1,8,8,,2,3,3,2,,2,2,4,1,5,4,6,4,6,6,6,6,7,6,5,6,6,6,6,7,6,"1,3,6",8,1,1,37807,2471,185,1,659698d8-9ddf-8acb-c671-c56b77d95fc7
107.195.178.135,1675,R_10Hq4QXPJarfoLA,37,-89,1,1,26,2,3,1,3,3,3,20,100,20,40,100,50,"1,2",5,5,"1,2",5,"1,2","1,2",5,5,5,5,"1,2","1,2","1,2",,4,4,"1,2","1,2","1,2",4,"1,2",,1,1,1,1,,,,100,,,30,,60,0,,,,,0,40,0,3,,,3,,3,3,,,,,3,"1,3",3,,100,,,50,,60,0,,,,,20,40,0,3,,,3,,3,3,,,,,3,3,3,,1,3,3,3,4,3,4,4,4,4,4,3,2,3,15,,3,120,120,61,59,235,234,4,1,8,"1,6",,2,2,2,1,2,1,1,4,2,3,6,6,3,4,6,4,4,4,6,6,7,1,7,6,7,1,"4,5,7",5,3,2,63834,1509,162,1,659618d1-72fd-d266-29d3-fcd030d896be
98.122.25.248,710,R_10JGPVqDL37bSaF,34,-80,1,1,42,2,6,1,12,11,12,0,20,20,20,20,0,1,5,5,5,5,1,5,1,5,5,5,5,5,5,,1,4,4,4,4,4,4,,,,,,,,,50,,,,,30,,0,,,,,,,3,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,1,4,1,4,4,4,4,4,4,15,,3,59,59,183,185,182,181,5,1,6,"1,6,7",,2,1,2,1,2,1,2,5,2,2,1,7,6,4,7,1,1,7,7,1,7,7,1,1,7,1,"1,4,5",5,2,1,29154,2357,61,2,6596b987-dd88-babc-e724-214028164ac5
107.77.237.63,855,R_10M6yUfMwBfmoBc,38,-98,1,1,44,1,4,1,12,6,7,20,50,30,20,0,30,"1,2","1,2",5,"1,2","1,2","1,2",5,5,5,5,5,5,1,1,,"1,2",4,"1,2",4,4,4,4,,,3,,,,,,150,50,,20,0,20,,,,,,,30,20,2,3,,3,3,3,,,,,,,3,3,4,150,0,,20,50,20,,,,,,,,,2,3,,3,2,3,,,,,,,,,4,2,2,4,2,2,2,4,4,4,4,4,4,1,1,15,,3,59,92,58,131,179,87,1,3,8,2,,2,3,3,2,,2,2,2,2,3,4,5,7,7,7,6,7,7,7,7,7,7,7,7,7,4,"2,4,5",5,4,3,38401,2471,2531,2,65a05e3d-71af-7a58-0519-d791bf7b25f4
174.249.180.56,1316,R_10NeJd971kVi6Lm,34,-84,1,1,11,1,5,1,3,1,1,50,50,0,0,0,0,1,5,2,1,2,2,1,2,2,1,2,2,1,2,Dell,1,2,1,2,1,2,1,1,,,2,,2,1,1,40,,,30,,,25,,,22,,,21,,1,,,2,,,1,,,2,,,1,,1,,,24,,25,23,,22,21,,20,19,,18,,,1,,2,3,,2,1,,2,3,,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"16,17,18,19",None at all ,3,103,96,189,155,198,183,1,1,2,1,,2,1,2,1,1,1,1,4,2,1,4,6,7,7,7,7,7,6,7,6,7,6,7,7,7,6,2,3,3,1,31404,398,423,3,6599c069-a0c2-ebe6-7ef2-2689514c90c8
24.17.132.134,27620,R_10OSKOfHiDWS5J0,47,-122,1,1,49,1,3,1,3,8,11,5,20,10,20,25,10,"1,2","1,2","1,2",5,"1,2",5,5,5,5,5,5,5,"1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,50,75,30,,25,,,,,,,,50,0,1,3,3,,2,,,,,,,,2,3,4,45,30,20,,50,,,,,,,,50,0,3,3,3,,2,,,,,,,,3,3,4,2,2,2,4,2,4,4,4,4,4,4,4,2,2,15,,3,15,15,34,35,15,15,5,3,8,"3,4",,2,3,3,2,,2,2,1,2,1,1,4,5,5,4,5,4,6,4,4,7,5,5,5,7,4,"2,5",5,2,1,98023,3001,2702,3,659f5331-efe3-6f88-d12f-335d897db712
98.17.153.64,1104,R_10OuekT1kzJGhmR,37,-91,1,1,26,2,6,1,12,3,3,10,300,400,10,10,400,1,1,5,5,5,1,1,5,5,5,5,5,5,1,,4,4,4,4,4,4,4,,,,,,,,,100,150,,,,25,30,,,,,,,50,3,3,,,,3,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,2,2,4,4,4,4,4,4,3,20,Don't know ,3,30,46,42,86,53,93,5,1,8,1,,2,2,2,2,,2,2,1,2,4,2,5,5,7,5,4,3,4,4,4,4,5,5,5,7,5,"1,3,4",5,2,1,65734,1509,1262,1,6597dfae-93e9-3496-5661-fc71afda55e6
