responseId,LocationLatitude,LocationLongitude,2020_GISJOIN,2010_GISJOIN,2020G_FIPS,RUCC_2023,NotInUS
R_Ucs1yyGTEbb8PWp,36.0557,-94.1567,G05014300111043,G05014300111014,G05143,2,0
R_3qkhcCP61ADq9PE,36.1805,-94.5304,G05000700211022,G05000700211022,G05007,2,0
R_5BjgwxZXENx9qJb,36.0949,-94.1678,G05014300107031,G05014300107013,G05143,2,0
R_3MCOfOACbo8zyQV,35.887,-84.1675,G47009300058091,G47009300058092,G47093,2,0
R_3VWhJ1aqLnFFNPX,39.6253,-104.7863,G08000500857002,G08000500857002,G08005,1,0
R_5i2SPXJAajvH9Bn,40.9794,-81.5357,G39015305316011,G39015305316011,G39153,2,0
R_62lImXIG19VYKyk,31.2232,-92.3203,G22007900132021,G22007900132002,G22079,3,0
R_7vrIQCXBgQkFX6F,39.4886,-119.7366,G32003100021041,G32003100021042,G32031,2,0
R_6QGkSFeYeRiskcK,41.5696,-81.2096,G39005503108004,G39005503108002,G39055,1,0
R_36e1vPe1lsTsXIt,30.182,-82.8445,G12012109705022,G12012109705002,G12121,6,0
R_6obX6K6uXoqg8hS,37.431,-77.6554,G51004101009121,G51004101009121,G51041,1,0
R_3oyXvO60AWGKBmW,35.0599,-80.6976,G37017900203151,G37017900203152,G37179,1,0
R_7VdToz9tZ2Q4eIL,32.8261,-96.8345,G48011300004092,G48011300004065,G48113,1,0
R_7hznbTNX1zCeOA8,41.1393,-73.7012,G36011900123032,G36011900123032,G36119,1,0
R_5GDKtp2AVUoh6Je,42.723,-73.8177,G36000100139024,G36000100139023,G36001,2,0
R_3AowWmTujcNlD9f,33.7585,-84.183,G13008900232172,G13008900232102,G13089,1,0
R_1Vyff86FT1kvjaQ,38.8939,-94.7067,G20009100530093,G20009100530092,G20091,1,0
R_7n973KyaH8Bwp5d,35.0737,-78.8883,G37005100012003,G37005100012003,G37051,2,0
R_6BQ1IRu4we5H40V,38.9177,-119.7266,G32000500013001,G32000500013002,G32005,4,0
R_7VjUu6ITjQMvUwu,26.6932,-81.9129,G12007100208012,G12007100208002,G12071,2,0
R_3uOHWx8e9EdGFfk,43.4609,-88.8502,G55002709610004,G55002709610004,G55027,4,0
R_35ykPdbuzHtMT2H,41.788,-111.8113,G49000500004031,G49000500004031,G49005,3,0
R_5iqjWBdJ7stP8sG,31.8547,-111.0087,G04001900043284,G04001900043281,G04019,1,0
R_3z5OucBPnYR3w79,43.1963,-86.2717,G26012100022004,G26012100022002,G26121,3,0
R_5QtMaiF5FpZ0vUX,38.9694,-94.6266,G20009100516004,G20009100516002,G20091,1,0
R_7szcXXLcGHdVRbh,40.5697,-74.1184,G36008500134003,G36008500134003,G36085,1,0
R_1uhm0Nd9h6yiNd7,35.2296,-80.843,G37011900001041,G37011900001003,G37119,1,0
R_7Qmw4D0iReOfjcB,41.0842,-73.5451,G09000100208003,G09000100208003,G09001,#N/A,0
R_7fpOz80csRyvunB,33.4743,-112.194,G04001301125041,G04001301125041,G04013,1,0
R_3Gti3zZCTS5JUrL,29.5211,-98.3293,G48002901215053,G48002901215053,G48029,1,0
R_16T9r6fby3LgYuZ,27.8044,-82.2759,G12005700139121,G12005700139121,G12057,1,0
R_7b5oUuhK05uJlyp,45.4757,-122.4069,G41005100099074,G41005100099073,G41051,1,0
R_5h4JKfjvntUUeQA,44.9834,-93.2622,G27005301261011,G27005301261002,G27053,1,0
R_5RuGPIvV490sorn,40.935,-74.1176,G34000300174005,G34000300174005,G34003,1,0
R_1QLOyrhsujMz7UZ,37.751,-97.822,G20015500018002,G20015500018002,G20155,4,0
R_7FwzGhosEomGS4p,38.4782,-122.7475,G06009701528012,G06009701528012,G06097,2,0
R_5kTDz8iukNb1JbI,39.5992,-86.13,G18008106104032,G18008106104032,G18081,1,0
R_10oROMnzUQ13a9n,41.8018,-87.5993,G17003108363002,G17003108363002,G17031,1,0
R_3ZHYzhNxUSdbNmB,41.2315,-96.0519,G31005500069051,G31005500069051,G31055,2,0
R_3zmRaADSxBNBJhD,37.2003,-93.2973,G29007700005021,G29007700005021,G29077,2,0
R_72o3ICQfM04oOFy,35.5689,-97.5255,G40010901063021,G40010901063022,G40109,1,0
R_3lxJrgfCsvZ9k1e,27.552,-99.4959,G48047900017181,G48047900017181,G48479,2,0
